Invoice Date,Invoice Day,Customer Name,Master Channel,Channel,Category,Brand,Market,Sub Brand,Product Description,Sales Volume,Sales Value,Discount,Tax,Net Amount,Sales Cases,Sales Pieces,Invoice Number
1/6/2026,Wednesday,KHAWAJA SAWEETS,GT,Bakery,HAIR CARE,LIFEBUOY,WASH & CARE,LIFEBUOY SHAMPOO HERBAL,LIFEBUOY SHP ICNC HRBAL SHMP P2 24X175ML,0.00018,242.1,-2.42,56.03,295.7,0,1,PFES26043377
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,HAIR CARE,SUNSILK,WASH & CARE,SUNSILK SHAMPOO BLACK SHINE,SUNSILK SUNRISE SHP BS PS 768X4ML,0.000132,123.74,0,28.11,151.85,0,32,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,HAIR CARE,SUNSILK,WASH & CARE,SUNSILK SHAMPOO BLACK SHINE,SUNSILK SUNRISE SHP BS PS 768X4ML,0.001582,"1,484.90",0,337.33,"1,822.22",0,384,PFES26045210
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,COOKING AIDS,KNORR,BOUILLONS & SEASONINGS,KNORR CUBE BOUILLON CHICKEN,KNORR CKN CUBE IRON PI 288X18G,0,0,0,0,0,0,0,PFES26043377
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,MINI MEALS,KNORR,CARB-BASED MINI MEALS,KNORR BLCK NOODLES CHATPATA,KNORR BLK NODLS CHAT AWR NG-25 72X45G,0.000045,39.05,-0.78,9.59,47.86,0,1,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,MINI MEALS,KNORR,CARB-BASED MINI MEALS,KNORR BLCK NOODLES CHATPATA,KNORR CHATTPATTA NOODLES 72X31.5G,0.002268,"1,968.29",-49.21,480.73,"2,399.81",1,0,PFES26045210
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,MINI MEALS,KNORR,CARB-BASED MINI MEALS,KNORR BLCK NOODLES CHICKEN,KNORR CHICKEN NOODLES 72X31.5G,0.000032,27.34,-0.68,6.68,33.33,0,1,PFES26043377
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,FABRIC CLEANING,SUNLIGHT,FABRIC CLEANING,SUNLIGHT NM STD POWDER GREEN,SUNLIGHT POWDR GREEN NEW PKR99 24X390G,0.00039,79.18,-1.98,17.41,94.61,0,1,PFES26043377
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,FABRIC CLEANING,SUNLIGHT,FABRIC CLEANING,SUNLIGHT NM STD POWDER PINK,SUNLIGHT POWDR PINK NEW PKR99 24X390G,0.00039,79.18,-1.98,17.41,94.61,0,1,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,FABRIC CLEANING,SURF,FABRIC CLEANING,SURF EXCEL NM STD POWDER,SURF EXCEL CP 10% EXTRA RS.10 288X20G,0.00024,95.44,-7.5,20.96,108.9,0,12,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,FABRIC CLEANING,SURF,FABRIC CLEANING,SURF EXCEL NM STD POWDER CARE,SURF EXCEL NEW DTS PWD PKR 50 72X95G,0.00684,"2,889.24",-191.95,630.31,"3,327.60",1,0,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY PW BAR LEMON FRESH,LIFEBUOY LEMON FRESH STARCH PI 72X125G,0.000125,102.46,-1.02,22.86,124.3,0,1,PFES26045210
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLEANSING BAR TOTAL,LIFEBUOY TOTAL STARCH DE 108X95G,0.000095,78.82,0,17.61,96.43,0,1,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLEANSING BAR TOTAL,LIFEBUOY TOTAL STARCH PI 72X125G,0.000125,102.46,-1.02,22.86,124.3,0,1,PFES26045210
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLEANSING BAR TOTAL,LIFEBUOY TOTAL STARCH DE 108X65G,0.000065,55.67,0,12.34,68.01,0,1,PFES26043377
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLNG BAR CARE,LIFEBUOY CARE STARCH PI 72X125G,0.000125,102.46,0,22.89,125.35,0,1,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLNG BAR CARE,LIFEBUOY CARE STARCH PI 72X125G,0.000125,102.46,-1.02,22.86,124.3,0,1,PFES26045210
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLNG BAR CARE,LIFEBUOY CARE STARCH DE 108X65G,0.000065,55.67,0,12.34,68.01,0,1,PFES26043377
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLNG BAR NATURE,LIFEBUOY NATURE STARCH PI 72X125G,0.000125,102.46,0,22.89,125.35,0,1,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LIFEBUOY,SKIN CLEANSING,LIFEBUOY SKIN CLNG BAR NATURE,LIFEBUOY NATURE STARCH PI 72X125G,0.000125,102.46,-1.02,22.86,124.3,0,1,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX PW BAR PURPLE LOTUS,LUX PURP LXRY ST DE 72X125G,0.000125,119.3,-1.19,26.41,144.51,0,1,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX SKIN CLEANSING BAR FRESH SPLASH,LUX BLUE LXRY ST DE 72X125G,0.000125,119.3,-1.19,26.41,144.51,0,1,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX SKIN CLEANSING BAR PINK,LUX PINK LXRY ST DE PI 72X125G,0.000125,127.25,-1.27,28.17,154.15,0,1,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX SKIN CLEANSING BAR TANG,LUX TANG LXRY ST DE 72X125G,0.000125,119.3,-1.19,26.41,144.51,0,1,PFES26045210
1/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX SKIN CLEANSING BAR WHITE,LUX WHITE BATH ST PI 108X100G,0.0001,103.39,0,22.91,126.3,0,1,PFES26043377
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX SKIN CLEANSING BAR WHITE,LUX WHITE BATH ST PI 108X100G,0.0001,103.39,-1.03,22.89,125.24,0,1,PFES26045210
8/6/2026,Monday  ,KHAWAJA SAWEETS,GT,Bakery,SKIN CLEANSING,LUX,SKIN CLEANSING,LUX SKIN CLEANSING BAR WHITE,LUX WHITE LXRY ST DE PI 72X125G,0.000125,127.25,-1.27,28.17,154.15,0,1,PFES26045210
8/6/2026,Monday  ,AL HABIB PHARMACY,GT,Bakery,HAIR CARE,DOVE,WASH & CARE,DOVE SHAMPOO DRYNESS CARE,DOVE SHMP DRYNSS CARE DYN P2 24X175ML,0.00018,416.1,-4.16,96.29,508.24,0,1,PFES26045093
8/6/2026,Monday  ,AL HABIB PHARMACY,GT,Bakery,HAIR CARE,DOVE,WASH & CARE,DOVE SHAMPOO HAIRFALL RESCUE,DOVE SHMP HAIRFAL RESCUE 24X175ML,0.00018,355.58,-3.56,82.29,434.31,0,1,PFES26045093
